id,title,GW,xG,xGA,npxG,npxGA,att,def,att,def,deep,deep_allowed,GF,GA,xpts,wins,draws,loses,pts,npxGD
,Napoli,5,1.89418,0.534885,1.89418,0.534885,167,24,360,18,7,0,0,1,2.3591,0,0,1,0,1.359295,
,Napoli,6,2.50124,1.14541,2.50124,1.14541,247,28,339,18,14,5,2,1,2.3353,1,0,0,3,1.35583,
,Napoli,7,0.840858,0.48114,0.840858,0.48114,167,32,281,20,8,4,0,0,1.6724999999999999,0,1,0,1,0.359718,
,Napoli,8,2.28168,1.73959,2.28168,1.73959,207,19,264,30,7,4,2,0,1.784,1,0,0,3,0.5420900000000002,
,Napoli,9,0.898916,0.470344,0.898916,0.470344,165,21,323,22,8,2,1,1,1.7698,0,1,0,1,0.42857200000000006,
,Napoli,10,3.19908,1.33873,3.19908,1.33873,307,23,307,27,8,9,2,2,2.5477,0,1,0,1,1.86035,
,Napoli,11,1.6515,2.21085,1.6515,0.688255,200,24,310,35,6,4,1,2,0.9048,0,0,1,0,0.963245,
,Napoli,12,0.883505,1.23282,0.883505,1.23282,407,35,182,17,6,5,0,0,0.9989999999999999,0,1,0,1,-0.34931500000000004,
,Napoli,13,1.2322,0.794979,1.2322,0.794979,263,33,311,31,7,8,1,1,1.7468,0,1,0,1,0.43722099999999997,
,Napoli,14,1.74594,1.47641,1.74594,1.47641,218,20,281,28,11,2,1,2,1.5516,0,0,1,0,0.26953000000000005,
,Napoli,15,1.07747,0.56859,1.07747,0.56859,165,27,283,19,17,2,1,1,1.7671,0,1,0,1,0.5088799999999999,
,Napoli,16,1.88263,1.29277,1.88263,1.29277,131,23,377,15,13,5,1,2,1.7565,0,0,1,0,0.58986,
,Napoli,17,1.80188,1.38422,1.80188,1.38422,375,17,232,29,7,6,2,1,1.6996000000000002,1,0,0,3,0.4176599999999999,
,Napoli,18,1.69175,1.24209,1.69175,1.24209,343,20,326,34,10,4,1,3,1.6989999999999998,0,0,1,0,0.44966000000000017,
,Napoli,19,0.994893,1.4953,0.994893,1.4953,235,18,470,21,3,8,0,1,0.9517,0,0,1,0,-0.500407,
,Napoli,20,0.580972,0.78573,0.580972,0.78573,160,17,354,9,4,5,0,2,1.0921,0,0,1,0,-0.204758,
,Napoli,21,1.26806,0.652726,1.26806,0.652726,304,19,345,31,3,3,2,1,1.8998,1,0,0,3,0.6153339999999999,
,Napoli,22,1.62063,1.72735,1.62063,0.966049,185,14,355,35,9,6,4,2,1.2177,1,0,0,3,0.654581,
,Napoli,23,3.48129,1.83334,3.48129,1.83334,255,39,267,12,20,6,2,3,2.4147999999999996,0,0,1,0,1.64795,
,Napoli,24,1.11984,0.287568,1.11984,0.287568,309,20,388,21,2,3,1,0,2.1129,1,0,0,3,0.8322719999999999,
,Napoli,25,1.42319,1.28069,0.661932,1.28069,151,21,485,17,4,7,2,1,1.4607,1,0,0,3,-0.6187580000000001,
,Napoli,26,2.15689,0.824974,2.15689,0.824974,261,21,440,23,13,3,2,1,2.346,1,0,0,3,1.331916,
,Napoli,27,1.74552,1.44987,1.74552,1.44987,262,23,307,28,4,4,2,0,1.5982999999999998,1,0,0,3,0.29564999999999997,
,Napoli,28,1.95132,0.530265,1.95132,0.530265,239,22,472,21,7,2,3,1,2.4228,1,0,0,3,1.421055,
,Napoli,29,0.663009,1.06912,0.663009,1.06912,325,17,340,21,6,4,0,2,0.9183000000000001,0,0,1,0,-0.4061110000000001,
,Napoli,30,2.34423,0.696395,2.34423,0.696395,279,20,406,18,10,7,2,1,2.5545,1,0,0,3,1.6478350000000002,
,Napoli,31,1.58643,0.458319,1.58643,0.458319,200,15,368,18,12,3,2,1,2.2398000000000002,1,0,0,3,1.128111,
,Napoli,32,1.96716,1.28706,1.96716,0.525761,406,16,334,27,7,5,2,2,1.9341,0,1,0,1,1.441399,
,Napoli,33,0.874604,0.67381,0.874604,0.67381,268,14,350,37,5,10,1,1,1.5079,0,1,0,1,0.20079400000000003,
,Napoli,34,1.1326,0.842771,1.1326,0.842771,269,23,392,17,11,3,2,1,1.5488,1,0,0,3,0.289829,
,Napoli,35,1.52569,2.01358,0.764396,0.49098,214,30,362,8,13,1,1,2,0.8843999999999999,0,0,1,0,0.27341599999999994,
,Napoli,36,2.4361,0.636029,2.4361,0.636029,335,20,285,24,5,3,2,0,2.5833999999999997,1,0,0,3,1.8000710000000002,
,Napoli,37,1.16883,0.592135,1.16883,0.592135,277,16,299,14,4,5,0,2,1.8548,0,0,1,0,0.5766950000000001,
,Napoli,38,1.92539,1.0997,1.16409,1.0997,285,22,321,13,14,4,3,1,2.0262000000000002,1,0,0,3,0.06439000000000017,

107,Atalanta,1,1.70129,1.48495,1.70129,1.48495,182,30,283,22,5,4,3,2,1.5071,1,0,0,3,0.21633999999999998,
,Atalanta,2,1.83194,0.684714,1.83194,0.684714,125,27,202,33,9,3,2,3,2.2121,0,0,1,0,1.1472259999999999,
,Atalanta,3,2.43373,1.35423,1.67243,0.592935,196,16,170,22,10,3,2,1,2.1563999999999997,1,0,0,3,1.079495,
,Atalanta,4,1.44964,1.40952,1.44964,1.40952,172,37,283,18,7,2,2,2,1.3674999999999997,0,1,0,1,0.040119999999999933,
,Atalanta,5,2.23314,2.21614,2.23314,2.21614,292,28,309,29,6,8,2,0,1.4045,1,0,0,3,0.016999999999999904,
,Atalanta,6,2.42758,0.442236,2.42758,0.442236,366,25,325,20,7,5,4,1,2.7139,1,0,0,3,1.9853439999999998,
,Atalanta,7,4.39219,0.999184,4.39219,0.999184,205,32,291,14,12,6,3,1,2.8602000000000003,1,0,0,3,3.393006,
,Atalanta,8,2.56796,2.70407,2.56796,1.18147,240,28,268,26,7,6,3,3,1.2971000000000001,0,1,0,1,1.3864899999999998,
