id,title,GW,xG,xGA,npxG,npxGA,att,def,att,def,deep,deep_allowed,GF,GA,xpts,wins,draws,loses,pts,npxGD
,Aston Villa,24,1.06739,1.81101,1.06739,1.81101,142,23,306,33,6,1,2,1,0.7277,1,0,0,3,-0.74362,
,Aston Villa,25,1.40955,2.72236,1.40955,2.72236,107,14,220,22,7,8,1,2,0.5550999999999999,0,0,1,0,-1.31281,
,Aston Villa,26,1.71313,3.86024,1.71313,2.95505,199,21,253,29,8,9,2,3,0.3377,0,0,1,0,-1.24192,
,Aston Villa,27,0.47235,3.02926,0.47235,3.02926,148,25,232,31,4,7,0,2,0.1382,0,0,1,0,-2.55691,
,Aston Villa,28,0.672448,2.41239,0.672448,1.65122,304,23,156,29,2,8,0,4,0.2673,0,0,1,0,-0.9787719999999999,
,Aston Villa,29,1.00877,0.235909,1.00877,0.235909,227,14,214,27,5,2,0,0,2.0802,0,1,0,1,0.7728609999999999,
,Aston Villa,30,1.57223,1.14011,1.57223,1.14011,336,15,98,16,0,10,1,2,1.7817,0,0,1,0,0.43212000000000006,
,Aston Villa,31,1.22985,0.661808,1.22985,0.661808,228,23,161,17,8,3,1,1,1.8679999999999999,0,1,0,1,0.5680420000000002,
,Aston Villa,32,0.403418,0.703549,0.403418,0.703549,201,23,235,14,3,5,0,1,0.9678,0,0,1,0,-0.300131,
,Aston Villa,33,0.689775,1.0837,0.689775,1.0837,354,17,108,29,4,11,0,2,0.9176,0,0,1,0,-0.3939250000000001,
,Aston Villa,34,0.598873,2.86531,0.598873,2.10415,361,17,160,20,2,13,0,3,0.15410000000000001,0,0,1,0,-1.5052770000000002,
,Aston Villa,35,1.6977,0.974181,1.6977,0.974181,232,26,149,20,4,3,2,0,1.9465999999999999,1,0,0,3,0.723519,
,Aston Villa,36,1.52021,0.944434,1.52021,0.944434,283,22,184,25,6,6,1,1,1.8509,0,1,0,1,0.5757760000000001,
,Aston Villa,37,0.57408,0.737137,0.57408,0.737137,354,19,132,21,4,6,1,0,1.1377,1,0,0,3,-0.163057,
,Aston Villa,38,0.983594,0.781465,0.983594,0.781465,234,22,130,18,4,2,1,1,1.4911,0,1,0,1,0.202129,

73,Bournemouth,1,1.34099,1.59864,1.34099,1.59864,204,15,274,30,4,6,1,1,1.0171999999999999,0,1,0,1,-0.25765000000000016,
,Bournemouth,2,1.62777,1.65069,0.866605,1.65069,268,25,117,9,9,12,2,1,1.3578,1,0,0,3,-0.784085,
,Bournemouth,3,1.89345,3.12856,1.89345,3.12856,458,20,119,23,3,17,1,3,0.6611,0,0,1,0,-1.2351099999999997,
,Bournemouth,4,0.554726,2.23766,0.554726,2.23766,320,32,242,35,7,10,1,3,0.2616,0,0,1,0,-1.682934,
,Bournemouth,5,1.41542,1.50641,1.41542,1.50641,266,22,171,31,3,9,3,1,1.2948,1,0,0,3,-0.09099000000000013,
,Bournemouth,6,1.29773,2.18021,1.29773,1.41904,287,16,143,35,2,6,3,1,0.7326999999999999,1,0,0,3,-0.12131000000000003,
,Bournemouth,7,2.31957,1.29546,2.31957,1.29546,225,20,262,20,8,17,2,2,2.0753,0,1,0,1,1.02411,
,Bournemouth,8,0.683967,1.24109,0.683967,1.24109,235,23,246,35,7,10,0,1,0.8124,0,0,1,0,-0.557123,
,Bournemouth,9,0.675554,0.402873,0.675554,0.402873,254,20,213,18,7,5,0,0,1.5813000000000001,0,1,0,1,0.272681,
,Bournemouth,10,0.899526,0.674903,0.899526,0.674903,178,19,342,26,3,5,0,0,1.4985,0,1,0,1,0.22462300000000002,
