id,title,GW,xG,xGA,npxG,npxGA,att,def,att,def,deep,deep_allowed,GF,GA,xpts,wins,draws,loses,pts,npxGD
130,Borussia M.Gladbach,1,1.43141,0.760773,1.43141,0.760773,190,33,321,21,7,5,0,0,1.9358,0,1,0,1,0.670637,
,Borussia M.Gladbach,2,2.09431,1.81289,2.09431,1.81289,193,18,237,29,9,5,3,1,1.5967,1,0,0,3,0.2814200000000002,
,Borussia M.Gladbach,3,1.4586,3.13131,1.4586,3.13131,290,35,294,36,4,7,1,3,0.37729999999999997,0,0,1,0,-1.6727100000000001,
,Borussia M.Gladbach,4,1.55336,0.841764,1.55336,0.841764,204,33,184,36,7,8,1,0,1.9603000000000002,1,0,0,3,0.7115960000000001,
,Borussia M.Gladbach,5,4.2854,1.27666,4.2854,1.27666,167,17,276,15,7,5,2,1,2.8021,1,0,0,3,3.0087400000000004,
,Borussia M.Gladbach,6,2.83647,1.30868,2.83647,1.30868,270,26,278,21,6,5,3,0,2.3701,1,0,0,3,1.5277899999999998,
,Borussia M.Gladbach,7,3.59033,1.35488,3.59033,1.35488,209,26,395,23,11,3,5,1,2.6899,1,0,0,3,2.2354499999999997,
,Borussia M.Gladbach,8,3.217,1.62968,3.217,1.62968,265,21,205,22,11,6,0,1,2.4314,0,0,1,0,1.58732,
,Borussia M.Gladbach,9,1.99947,0.997822,1.99947,0.997822,247,20,242,29,5,3,4,2,2.1318,1,0,0,3,1.001648,
,Borussia M.Gladbach,10,2.05874,2.12992,2.05874,2.12992,291,18,204,27,3,3,2,1,1.3616000000000001,1,0,0,3,-0.07118000000000002,
,Borussia M.Gladbach,11,2.15941,1.59871,2.15941,0.840931,230,33,276,27,6,3,3,1,1.7714,1,0,0,3,1.318479,
,Borussia M.Gladbach,12,0.95814,1.49758,0.95814,1.49758,163,15,385,25,7,4,0,2,0.8613,0,0,1,0,-0.5394399999999999,
,Borussia M.Gladbach,13,5.28668,1.5268,4.50064,1.5268,266,17,255,18,19,3,4,2,2.9273,1,0,0,3,2.97384,
,Borussia M.Gladbach,14,1.33084,1.74378,0.573068,1.74378,319,32,184,33,2,8,2,1,1.0484,1,0,0,3,-1.170712,
,Borussia M.Gladbach,15,0.502409,0.968068,0.502409,0.968068,265,18,281,37,3,7,1,2,0.9295,0,0,1,0,-0.46565900000000005,
,Borussia M.Gladbach,16,2.79858,0.508363,2.0408,0.508363,248,37,327,38,6,4,2,0,2.7669999999999995,1,0,0,3,1.5324369999999998,
,Borussia M.Gladbach,17,0.633262,0.804328,0.633262,0.804328,200,20,305,16,8,2,0,0,1.0552000000000001,0,1,0,1,-0.17106600000000005,
,Borussia M.Gladbach,18,0.838626,2.05715,0.838626,2.05715,167,29,224,34,3,4,0,2,0.527,0,0,1,0,-1.218524,
,Borussia M.Gladbach,19,2.997,0.889986,2.997,0.889986,119,21,349,23,14,4,3,1,2.6493,1,0,0,3,2.107014,
,Borussia M.Gladbach,20,0.973355,1.29026,0.973355,1.29026,355,22,196,24,4,13,2,2,1.0943,0,1,0,1,-0.316905,
,Borussia M.Gladbach,21,2.76945,0.804434,2.76945,0.804434,283,20,293,24,5,6,4,1,2.5991,1,0,0,3,1.9650159999999999,
,Borussia M.Gladbach,22,2.39606,1.98292,1.63837,1.98292,342,23,274,21,7,5,1,1,1.6928,0,1,0,1,-0.3445499999999999,
,Borussia M.Gladbach,23,3.18339,1.10383,3.18339,1.10383,276,23,366,21,10,4,3,2,2.6319,1,0,0,3,2.07956,
,Borussia M.Gladbach,24,2.62205,1.20132,2.62205,1.20132,392,30,333,25,2,3,1,2,2.3824,0,0,1,0,1.4207300000000003,
,Borussia M.Gladbach,25,1.32979,1.31698,1.32979,1.31698,292,21,329,23,9,6,2,1,1.3894000000000002,1,0,0,3,0.012809999999999988,
,Borussia M.Gladbach,26,2.79227,0.898676,2.03457,0.898676,308,10,318,29,4,6,3,1,2.5996,1,0,0,3,1.135894,
,Borussia M.Gladbach,27,2.273,3.46649,2.273,2.70896,320,32,245,26,6,5,1,3,0.6617000000000001,0,0,1,0,-0.4359599999999997,
,Borussia M.Gladbach,28,0.359767,0.844607,0.359767,0.844607,272,26,385,32,3,3,0,0,0.8164,0,1,0,1,-0.48484,
,Borussia M.Gladbach,29,2.16238,0.719923,2.16238,0.719923,231,16,400,21,5,2,4,1,2.4374,1,0,0,3,1.442457,
,Borussia M.Gladbach,30,2.15228,1.56293,2.15228,1.56293,202,24,359,23,7,5,0,1,1.8281,0,0,1,0,0.5893500000000003,
,Borussia M.Gladbach,31,0.983991,1.77878,0.983991,1.77878,331,16,405,30,4,8,1,2,0.7435,0,0,1,0,-0.7947890000000001,
,Borussia M.Gladbach,32,1.73701,0.741379,1.73701,0.741379,272,22,360,34,9,4,3,0,2.1856,1,0,0,3,0.9956309999999999,
,Borussia M.Gladbach,33,2.74581,0.67473,1.98804,0.67473,296,34,268,14,10,3,3,1,2.6812,1,0,0,3,1.31331,
,Borussia M.Gladbach,34,3.07113,0.827053,3.07113,0.827053,276,21,390,21,9,4,2,1,2.6947,1,0,0,3,2.244077,

119,Bayer Leverkusen,1,2.47615,1.20475,2.47615,1.20475,119,31,504,29,9,2,3,2,2.3902,1,0,0,3,1.2714,
,Bayer Leverkusen,2,1.82469,1.12017,1.82469,1.12017,149,29,469,25,7,4,3,1,1.9219,1,0,0,3,0.7045199999999998,
,Bayer Leverkusen,3,0.936475,0.450548,0.936475,0.450548,100,13,375,18,8,1,0,0,1.778,0,1,0,1,0.48592699999999994,
,Bayer Leverkusen,4,1.14812,3.23112,1.14812,3.23112,173,25,465,28,3,9,0,4,0.22,0,0,1,0,-2.083,
,Bayer Leverkusen,5,1.55742,0.125413,1.55742,0.125413,228,24,563,25,8,1,2,0,2.5505000000000004,1,0,0,3,1.432007,
,Bayer Leverkusen,6,0.978659,0.27153,0.978659,0.27153,143,13,590,23,6,1,3,0,2.0901,1,0,0,3,0.7071289999999999,
,Bayer Leverkusen,7,1.6617,2.45811,1.6617,2.45811,211,27,507,30,9,3,1,1,0.7931999999999999,0,1,0,1,-0.7964100000000001,
,Bayer Leverkusen,8,1.58917,2.73688,1.58917,1.97918,121,23,382,23,7,9,0,3,0.6699999999999999,0,0,1,0,-0.39000999999999997,
,Bayer Leverkusen,9,2.95018,0.502517,2.95018,0.502517,175,35,296,17,8,6,2,2,2.8106999999999998,0,1,0,1,2.447663,
,Bayer Leverkusen,10,2.12992,2.05874,2.12992,2.05874,204,27,291,18,3,3,1,2,1.3835000000000002,0,0,1,0,0.07118000000000002,
,Bayer Leverkusen,11,1.20713,0.571444,1.20713,0.571444,226,24,331,32,0,4,2,0,1.8981,1,0,0,3,0.6356860000000001,
